id,vesselName,vhash,companyName,chash,platformName,phash,voyageCount,multi,sortid
828,ISLAND CHALLENGER,-1182779558,BP,2126,MIRREN,-2020581755,3,0,65
829,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,3,0,6
830,ISLAND CHALLENGER,-1182779558,BP,2126,MONAN,73541657,3,0,64
831,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
832,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,2,0,47
833,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,MONTROSE,463927351,4,0,13
834,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,SHAW,2543947,4,0,9
835,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARBROATH,-952916089,4,0,11
836,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,CARNOUSTIE,-2071798339,4,0,10
837,GRAMPIAN SCEPTRE,398550601,REPSOL,-1881188397,BUCHAN,1970090533,1,0,41
838,VESTLAND CETUS,-1663906517,ENQUEST,-876275271,KITTIWAKE,-28175409,1,0,35
839,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
840,SKANDI BUCHAN,-443528389,TOTAL,80012068,ELGIN,66057637,1,0,67
841,SKANDI RONA,-1354178746,SHELL,78865936,GANNET A,-949074902,6,0,18
842,SKANDI RONA,-1354178746,SHELL,78865936,GANNET E,-949074898,6,0,21
843,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,6,0,20
844,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,6,0,1
845,SKANDI RONA,-1354178746,SHELL,78865936,MERGANSER,115750726,6,0,2
846,SKANDI RONA,-1354178746,SHELL,78865936,GANNET D,-949074899,6,0,16
847,ISLAND CHALLENGER,-1182779558,BP,2126,MARNOCK-SKUA (cond),-1044193739,1,0,6
848,SEA TANTALUS,1033933901,NEXEN,74177002,GOLDEN EAGLE,1429227533,2,0,46
849,SEA TANTALUS,1033933901,NEXEN,74177002,BUZZARD,965041792,2,0,47
850,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,BUCHAN,1970090533,3,0,41
851,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,SHAW,2543947,3,0,9
852,HAVILA CRUSADER,1798630972,REPSOL,-1881188397,ARBROATH,-952916089,3,0,11
853,SKANDI BARRA,954942860,TOTAL,80012068,ELGIN,66057637,1,0,67
854,SKANDI RONA,-1354178746,SHELL,78865936,HERON,68630420,6,0,3
855,SKANDI RONA,-1354178746,SHELL,78865936,GANNET C,-949074900,6,0,20
856,SKANDI RONA,-1354178746,SHELL,78865936,SCOTER (oil),-1442538815,6,0,1
857,SKANDI RONA,-1354178746,SHELL,78865936,GANNET G,-949074896,6,0,17
